reference_id,coating_name,coating_family,substrate_family,coating_role,process_route,known_strengths,known_watch_outs,evidence_maturity,source_reference,applicability_guardrails
tbc_reference,Thermal barrier coating,TBC,Ni superalloy,thermal insulation,"air plasma spray or electron beam physical vapor deposition with bond coat","reduces metal temperature; mature turbine coating family; repairable in established routes","spallation; bond coat oxidation; thermal cycling durability; CMAS attack",B,"curated coating reference","Use only with substrate and bond coat compatibility stated."
ebc_reference,Environmental barrier coating,EBC,SiC/SiC CMC,oxidation and water vapor recession protection,"slurry; plasma spray; physical vapor deposition variants","protects silicon-based ceramics from recession; enables CMC hot-section use","thermal expansion mismatch; water vapor durability; coating defects and repair limits",C,"curated coating reference","Use for silicon-based ceramics or CMCs with environment-specific validation."
wear_coating_reference,Wear resistant coating,hard wear coating,steel or titanium alloy,wear and fretting resistance,"thermal spray; PVD; HVOF depending on coating chemistry","surface hardness; fretting and abrasion resistance; localized protection","adhesion; residual stress; fatigue debit; edge durability",C,"curated coating reference","Use where substrate fatigue and adhesion testing are part of validation."
advanced_tbc_stack_variant,Advanced TBC stack variant,TBC,Ni superalloy,thermal barrier and thermal cycling tolerance,"bond coat deposition; ceramic top coat deposition; thermal exposure screening","mature coating-family analogue; adjustable top-coat architecture","spallation; bond coat oxidation; CTE mismatch; CMAS/environmental compatibility; repair route dependency",C,"curated coating seed reference","Use only as a comparison stack; validate substrate, bond coat and top-coat compatibility for the intended duty cycle."
rare_earth_silicate_ebc_stack,Rare-earth silicate EBC stack,EBC,SiC/SiC CMC,environmental barrier and steam recession resistance,"surface preparation; bond layer where applicable; rare-earth silicate EBC deposition","explicit EBC role for silicon-based ceramic systems; environmental protection cue","water vapor durability; thermal expansion mismatch; coating defects; rare-earth supply sensitivity; repair limits",C,"curated coating seed reference","Use for silicon-based CMC or ceramic systems only with environment-specific recession and adhesion validation."
bondcoat_ceramic_topcoat_architecture,Bond coat plus ceramic top coat architecture,TBC,metallic hot-section substrate,thermal protection with interface management,"substrate preparation; metallic bond coat; ceramic top coat; acceptance inspection","separates bond coat and ceramic top coat roles; makes interface validation visible","adhesion; bond coat oxidation; interface roughness control; thermal cycling durability; inspection burden",B,"curated coating seed reference","Comparison architecture only; component-specific approval is not implied."
oxidation_hot_corrosion_coating,Oxidation and hot-corrosion resistant coating,oxidation hot-corrosion coating,Ni or Co alloy,oxidation and hot-corrosion resistance,"diffusion coating or overlay coating; heat treatment; oxidation screening","surface environmental protection for metallic substrate families","coating/substrate compatibility; depletion; cracking; environmental specificity; repair and strip/recoat risk",C,"curated coating seed reference","Use as a generic oxidation/hot-corrosion protection concept with environment-specific validation."
erosion_resistant_coating_system,Erosion-resistant coating system,erosion resistant coating,titanium alloy or ceramic substrate,erosion resistance,"thermal spray or physical vapor deposition depending on chemistry","localized erosion protection; preserves substrate role","adhesion; particle impact damage; edge durability; coating thickness control; inspection of local wear",C,"curated coating seed reference","Use only where erosion mechanism, substrate fatigue and coating adhesion can be tested."
abradable_clearance_control_coating,Abradable clearance-control coating concept,abradable coating,Ni or Ti alloy,clearance control and sacrificial wear,"thermal spray abradable deposition; machining or finishing; rub-tolerance screening","supports controlled rub behaviour; localized sacrificial surface role","erosion; thermal aging; debris compatibility; repair interval uncertainty; application-specific inspection",D,"curated coating seed reference","Treat as a component-context coating concept, not a general surface-protection winner."
wear_resistant_hard_coating_variant,Wear-resistant hard coating variant,hard wear coating,steel or titanium alloy,wear resistance and hard surface,"HVOF; thermal spray; PVD depending on coating chemistry","hard surface protection; fretting and abrasion resistance cue","adhesion; residual stress; substrate fatigue debit; repair by strip/recoat; edge durability",C,"curated coating seed reference","Use with substrate fatigue, adhesion and repair assumptions made explicit."
